"ticket_id","ticket_name","full_thread_text"
"21094199","Request to Confirm or Reset FileZilla Credentials","[2026-03-20 07:39 | Sreya Johny] Customer Added a Review on this ticket"
"21094123","ACH prenote file","[2026-03-20 05:31 | Michelle Roach] Trying to create ACH prenote file but there is nothing in it

[2026-03-20 06:22 | Michelle Roach] I need a call back ASAP Michelle Roach Deputy Clerk City of Tekamah P.O. Box 143 1126 S 13th St Tekamah, NE 68061 (402)374-2521

[2026-03-20 06:33 | Susan Thomas] Hi Michelle, The most likely cause of the prenote file being empty is that the ""Create prenotification file"" option only includes customers whose Prenoted checkbox is not yet checked in their bank information. If all of your ACH customers already have the Prenoted flag checked, the prenote file will come out empty. To verify, go into a customer's ACH tab and check whether the Prenoted checkbox is checked. If it is, those customers won't appear in a prenote file — they would only appear in a regular ACH file. If you have customers that are newly set up for ACH and their Prenoted box is unchecked, those are the ones that should be showing up. Let me know what you find and we can go from there! Please let me know if you need any further assistance.

[2026-03-20 06:37 | Susan Thomas] Dear Michelle, The resolution for this ticket has been provided. If the issue has not been resolved please update the ticket as soon as possible by responding in this ticket. (Please note: You have up to 7 days to notify inHANCE of any issues or concerns related to this ticket. If no issues or concerns have been noted within the 7-day window, the issue is considered complete and this ticket will automatically close.) However, if the issue has been resolved, please close the ticket and take a moment to provide your rating of the service you received.

[2026-03-20 07:37 | Susan Thomas] I reached out to Michelle and connected remotely. We created the ACH file, reviewed the report, and confirmed that the customers she was concerned about are included in the file."
"21094105","Impresa Account help","[2026-03-20 06:04 | Sachin Yadav] Hi Brandye, Could you please connect me to the SQL server? I need to do some fixes for Alexis.

[2026-03-20 07:56 | Brandye Poynter] I am out of the office today sick. Please reach out to helpdesk at 8177887033 to gain access to the server. Brandye Poynter IT Analyst City of Hurst, Texas 817-788-7032 bpoynter@hursttx.gov hursttx.gov Community built on connection"
"21094017","Utility Billing - 2 bills will not print out and another would like to combine the water readings","[2026-03-20 04:47 | Sandra Schendt] Attached is the pdf file are the 2 utility bills that wouldn't print out last month and will not print out this month. accounts 405810 Curtis Schiermeyer and 406400 Cooperative Producers Inc. You can print out a history on these accounts as shown in the pdf. When you do a print preview on utility billing, the 2 accounts show up (see the screen shot), but nothing will print out from there. Also the Country Store has 2 subtraction water meters and these meters are listed on the utility bill separately. Otherwise all of the utility bills printed out and look great."
"21093677","Duplicate meter numbers and duplicate addresses","[2026-03-20 02:57 | Joni Elston] When importing the file to Beacon, it has been discovered that there is an internal error on several meters. There are several meters attached to more than one location. There is also a duplicate address. Isn't Impresa supposed to give an error when duplicates entries are found? When an account is final billed, the meters are being removed and reattached to the new customer, however it seems that these meters are still staying in service location Here is a snip it of the internal error in Beacon on one account: An internal server error has occurred. Internal error message: (IntegrityError) (1062, ""Duplicate entry '13504042696543181656-1' for key 'meter_history.uq_one_active_per_meter'"") An internal server error has occurred. Internal error message: This Session's transaction has been rolled back due to a previous exception during flush. To begin a new transaction with this Session, first issue Session.rollback(). Original exception was: (IntegrityError) (1062, ""Duplicate entry '13504042696543181656-1' for key 'meter_history.uq_one_active_per_meter'"") '/* query_tracker appid:worker sessid:PNTjwy-R reqid:euUBC8gj taskid:task:a2229c2a5af54156a7ae48c6c4d134b0 model/manager/service_point_manager.py:963 */ UPDATE meter_history SET date_updated=CURRENT_TIMESTAMP(), end_date=%s WHERE meter_history.meter_history_uuid = %s' (None, 13504213608520135782L)

[2026-03-20 03:58 | Joni Elston] In addition to the errors, the last couple of imports from Impresa file to Beacon have been missing the header. Beacon said that this is something on your end that needs to be corrected."
"21093402","Customer Support Inquiry - Via Website","[2026-03-20 05:12 | Susan Thomas] Called, Adrianna is at lunch. I will try again shortly.

[2026-03-20 06:21 | Susan Thomas] Reached out to Adrianna and connected remotely. She already installed the latest update, which shows as March 17th, 2026. In the common folder, the only form available was the 2025 F941 file. I replaced it with the most recent 2026 version and confirmed that the file reflects the correct year. However, when she previews the quarterly tax report, it still opens the 2025 form. I then removed the 2025 file from the common folder entirely, leaving only the 2026 F941, but the quarterly tax preview in payroll is still defaulting to the 2025 form."
"21092597","Security","[2026-03-19 07:58 | SUE SUDBECK] We were wondering if the database used is encrypted or if there is a way to mask/obfuscate the bank account information for the customers.

[2026-03-20 06:37 | Joe Sheehan] Hi Sue, When you say mask the bank account numbers for the customers. Are you talking about a report or what exactly are you referencing?

[2026-03-20 06:51 | SUE SUDBECK] This is something our IT guy was inquiring about. And I don’t think the bank account information in PM is masked, for it to be masked you would have the beginning numbers X’d out and only showing a few of the last numbers. So that leads to the first questions is the database encrypted? There have been some very large cyber security breaches lately and he tries to stay on top of security for us. Sue Sudbeck Program Assistant Cedar Knox Rural Water Project 608 North Robinson Ave, PO Box 518 Hartington, NE 68739 Ph: 402-254-6758 Fax: 402-254-6759 www.lcnrd.nebraska.org

[2026-03-20 08:17 | Joe Sheehan] Sue, Okay, I understand your question now. Let me get with our Sr. Support Analyst and see what he says about this topic. Allow me a few days to get back to you as he's only in a couple days a week."
"21092380","New User","[2026-03-19 09:40 | Lisa Ward] I verified that you only have three users in Impresa. Those three are Lara Terrones, LeAnna Gonzales, and Amber Lindberg.

[2026-03-19 09:42 | Lara Terrones] It appears that the user lterrones@castlepinesmetro.com has their out of office message turned on. Below is the automated reply we received from them: ﻿ I am currently out of the office until Monday, March 23rd. Please call our main office at (303)688-8330 if you require immediate assistance.

[2026-03-19 09:58 | LeAnna Gonzales] Shaena told me that we can have 4 users, although only 3 can be on at the same time. We would like to set up that 4th user. LeAnna

[2026-03-20 05:46 | Debra Laskowski] Checking with Shaena. Debra

[2026-03-20 06:06 | Debra Laskowski] LeAnna, I spoke with Shaena and she said that a 4th user can be setup, however you will not be able to have all 4 logins in use at the same time. Right now you are licensed for 3 and you can only have 3 users in the system at the same time. If we add a 4th user that is not licensed, then that user can only be in the system if there are only 2 others in the system. You can never have more than 3 at a time in the system. So, if 3 are in the system and a 4th user needs in the system one of the other 3 will have to exit the system. If there are going to many times that 4 need in the system at the same time you will need to purchase a 4th user/login. Let me know if you still have questions. If you want to set up the 4th user without purchasing a 4th user let me know and I will have support help you.

[2026-03-20 06:10 | Debra Laskowski] LeAnna, I left this out of the last note. If you want to purchase a new user it is $2,000 for a new user that is $1,500 for the license and $500 for the annual support. Debra"
"21092297","Meter Reading Report","[2026-03-19 06:38 | Michelle Roach] I need to complete billing in the morning. The meter reading report is not showing all of our reading. Need a call ASAP

[2026-03-19 09:03 | Susan Thomas] Called twice and left a message. +140237425214:02 PM City of Tacoma is not available to take your call. Please leave a message after the tone press the pound key to end recording. +140237425214:05 PM City of Tacoma is not available to take your call. Please leave a message after the tone press the pound key to end recording.

[2026-03-20 01:22 | Susan Thomas] I reached out to Michelle this morning, and she confirmed that the issue has been resolved. Therefore, I am closing this ticket."
"21091613","HELP RECOVERING DELETED WATER METER","[2026-03-19 03:44 | Tristan Plessel] Accidentally deleted meter #77210024 while trying to do a meter change out - I do not know what account this meter belonged to and am hoping maybe this information could be recovered.

[2026-03-19 06:30 | Susan Thomas] I reached out and connected remotely with Tristan. We were unable to locate the account the removed meter belonged to. She mentioned that she completed a meter change-out and accidentally removed the incorrect meter. I will need to do additional research and will follow up once I have more information.

[2026-03-19 06:31 | Susan Thomas] Hi Tristan, You can find the account that meter #77210024 belonged to by running the Meter Changes report. Here's how: Go to Utility Billing > Reports > User Defined. In the left-hand pane of the User Defined Reports Explorer, select the Sample Reports folder. In the right-hand pane, locate the report titled ""Meter Changes"" and double-click it to open the Report Preview. This report lists all meter changes (both installed and removed) within the date range shown at the bottom left of the explorer, so you should be able to find the account that meter was associated with. Once you've identified the account, let us know if you need help getting the meter restored!

[2026-03-19 06:32 | Susan Thomas] Dear Lori, The resolution for this ticket has been provided. If the issue has not been resolved please update the ticket as soon as possible by responding in this ticket. (Please note: You have up to 7 days to notify inHANCE of any issues or concerns related to this ticket. If no issues or concerns have been noted within the 7-day window, the issue is considered complete and this ticket will automatically close.) However, if the issue has been resolved, please close the ticket and take a moment to provide your rating of the service you received.

[2026-03-20 04:32 | Susan Thomas] Hi Tristan, were you able to identify the meter linked to the account using the instructions I provided in the report?"
"21089285","HELP","[2026-03-19 02:46 | Sreya Johny] Good morning Shannon, I tried reaching you at 319-622-3043 and left a message. Please let me know your availability if you still need assistance with this.

[2026-03-20 05:32 | Shannon Fields] Sorry I was on another call I believe when you called. Yes, please I still need help."
"21088524","Update to newer version","[2026-03-18 01:53 | Jennifer Booher] We are currently working on getting out desktops and server upgraded so that they can support the newer versions of Impresa. What do I need to do to start the process of the upgrade for the program?"
"21086789","Reprint Billing Register","[2026-03-17 07:41 | Lisa Ward] Left a message for Lara, she will not be back until tomorrow."
"21086348","RECEIPT PRINTER QUESTION","[2026-03-17 07:18 | Jimmy Biondo] You could call our forms group and see if they have the proper paper for your receipt printer. Or Yes it should print out on a regular printer. Instead of the share printer point ti to another printer in your office through the override option or in the receipt printer setups cree ( Ub Administration > Payment information > receipt printer tab If you need help with this let us know.

[2026-03-17 07:41 | Amy Williams] Ok.

[2026-03-17 09:01 | Amy Williams] I have attached a screenshot of what we see under the payment print option. It only shows the options for each computer - receipt printer. Can you help with this to change the printer option to one of our other printers (not a receipt printer) ?

[2026-03-18 02:42 | Sachin Yadav] Hi Amy, We can have a look at this. Please let me know what time will work for you to schedule this ticket on a call.

[2026-03-19 02:05 | Amy Williams] Sachin, Probably Tuesday, Wednesday or Thursday next week would be good. Anytime those days between 7:30 am and 11:00 am or 2:30 pm to 4:30 pm. Jus let me know which day and time is good for you to look at this."
"21085893","Crystal Reports - Kind of Urgent","[2026-03-18 03:47 | Ben Aplin] We will reach out to you very soon.

[2026-03-18 06:39 | Chris Holloway] This error means that the version of impresa installed is not registering the u2lcom.dll. in the past, we had to install a different version of impresa to get it to register, then copy the 4.29.2.0 version and run impresa from there.

[2026-03-18 09:15 | Chris Holloway] We found that the 4.29.1.0 version was installed in the control panel, we uninstalled and reinstalled with the 4.29.2.0 and this fixed the bill printing issue. This needs to be done on each workstation.

[2026-03-18 09:33 | Lisa Ward] Worked with Ruth extensively getting upgrade issues and complaints documented

[2026-03-19 03:14 | Lisa Ward] Reinstalled Impresa on the remaining computers. Updated the compatibility setting on the server and created a new backup. Uploaded backup to FTP Server"
"21084932","DO# 7083 - BUG - Cole County PWSD #1 - Print Bills/Notices by account","[2026-03-18 09:39 | Lisa Ward] We have screenshots of the issues and documentation. We will try to recreate on our side

[2026-03-19 03:46 | Chris Holloway] We reproduced this here on our side and will send this over as a bug to our developers.

[2026-03-19 03:47 | Chris Holloway] Reproduced on tyl-sqd-dx03, Oasis_Bedford_CH at version 4.29.2.0 Needs to be added to a hot fix version.

[2026-03-19 04:07 | Ben Hill] Ticket has been synced with TFS' work item Print Bills/Notices with state ""New"".

[2026-03-19 04:22 | Ben Hill] Comment added in TFS by Lisa Ward Reproduced on tyl-sqd-dx03, Oasis_Bedford_CH at version 4.29.2.0 Needs to be added to a hot fix version.

[2026-03-19 07:42 | Ben Hill] TFS' Work Item BUG - Cole County PWSD #1 - Print Bills/Notices by account's status changed from ""New"" to ""Rejected"".

[2026-03-19 07:42 | Ben Hill] Comment added in TFS by Billy Stamps Yes.. this was fixed in DO 6916"
"21050075","Help with ACH Payments","[2026-02-25 06:55 | VIKKI CARLSON] To whom it may concern I am trying to record the ACH Payments in the City books that are made ACH. I keep getting the error I/o error 3. I have never gotten this before. I need help with this ASAP. Vikki Carlson Laurel City Clerk/Treasurer City of Laurel 302 E 2nd St Laurel, NE 68745 Office 402-256-3112 Fax – 402-256-9120

