"ticket_id","ticket_name","full_thread_text"
"21086863","Reverse Payment","[2026-03-17 06:00 | Tyler Silvernail] Hi Tyler, I believe I recall that you said we could apply outstanding credits in the cycle update process at any time. Is that correct? Typically, the only time we do that is during our district billing cycle. I’m looking at account #10801940. The owner made two identical payments, one of which generated a credit balance. When we reversed one of the payments the payment that got reversed was the payment that cleared the bucket items (water, water infra…..) not the “credits” transaction. Now there is an amount in the Credit bucket and balances on the water. I’d like to apply that credit now so it doesn’t charge interest and penalties when we apply them. Will that take care of it, or is there something else I would need to do. Or, do we have to wait until the cycle update when we bill district #1 again? Cindy Albertine Clerk of the Water Board Gloversville Water Works (518)773-4520 ext 1004 calbertine@gloversvillewater.com alber

[2026-03-17 06:00 | Tyler Silvernail] Hi Cindy, This account is fine. Since it was a payment and reverse payment; the system knows how to handle that accordingly. Where you guys have issues is direct CR and DR adjustments. The direct CR (water as an example) would ONLY credit water. Payments don't do that, they are applied to charges based on timing of the transaction (oldest first) then by Charge item (as configured in your system). Not by specific charge calcs. This account looks okay, its back to a 0 balance. T

[2026-03-17 06:12 | Tyler Silvernail] No worries, Let me know if you need anything else! T"
"21086645","Entering on octave meter","[2026-03-17 05:06 | Martin Cabrera] When I'm entering in the 2in octave, the crreate tab doesn't ope so that I can enter in the meter number and serial code."
"21086606","billing software and sensus miscommunication","[2026-03-17 04:54 | Rachel Olguin] Sensus is still having an issue with accounts that do not have meters importing into their system. For some reason their new Hub system can not exclude accounts without meters(Sensus techs for some reason can not set up this new system like the old one worked). Is there a way when we do the export to exclude those with out meter ID #'s? If you can call me on my cell @ 228-860-0248 or you can call the Core & Main tech guy- Garrison Bogdahan @ 448-228-8379 so we can see what can be done to fix the idocracy of Sensus and their new systems limitations.

[2026-03-17 06:23 | Jimmy Biondo] We export everyone in a route or routes selected. we can filter out inactive accounts but not accounts with no ID#. We conferenced in their Core and Main rep and they will fix it on their side."
"21086561","PAYROLL","[2026-03-17 04:40 | Karolyn McElroy] I am trying to find the file to upload for payroll, I can't find it. Please call this shouldn't take long, but I NEED TO HAVE THIS COMPLETED TODAY, AS I AM GONE REST OF THIS WEEK FOR TRAINING.

[2026-03-17 05:57 | Sreya Johny] Reached out to Karolyn and connected remotely. The ACH file was not created because the prompt was not answered ""Yes"". We ran the Print Checks process again, exported the file as a PDF, and were then able to successfully upload the ACH file to the bank."
"21086488","Move Out/In","[2026-03-17 04:21 | SUE SUDBECK] I just did a move out/in and I had selected compute and print bill and when I closed out of the new customers account, the screen shot below displayed but nothing else popped up and the final statement didn't print. Do I have something wrong that this happened."
"21086454","[EXTERNAL]Hamilton Branch Community Services District","[2026-03-17 04:53 | Jimmy Biondo] a custom setting was missing from her system. I added it in and now bill print."
"21086375","Help with pulling a report","[2026-03-11 05:32 | Hana Qwaider] I need a report (besides the customer account details page) that will allow me to show every single customer bill, usage, etc. from 2025 month by month (12 reports per customer total). I am hoping there is one to easily compile this data.

[2026-03-11 06:32 | Jimmy Biondo] Left a message There is not report that shows all the bills and usages and charges. The closest thing is the account detail. We made a customer one years ago that shows the last 12 billing periods instead of the entire billing history. If that will do i can send it over.

[2026-03-11 07:09 | Jimmy Biondo] Left another vmail message i had called

[2026-03-12 02:49 | Jimmy Biondo] Hana is out this morning but will call later today.

[2026-03-12 09:13 | Jimmy Biondo] called but got their vmail I am assuming Hana did not make it in today so i will try tomorrow.

[2026-03-17 03:54 | Hana Qwaider] This is what our rate analysis partners are requesting we provide. What is the easiest way to compile all this data? Here is the breakdown of the info we require for our billing data, for Water I’ve attached our billing onboard template for reference: Account number: The account associated with the bill Customer Category: The category for the customer. This can be anything from residential, commercial, or industrial. Period: The period (a month for monthly billing for ex.) wherein the customer was billed. Consumption: The USG or kUSG consumed during this time (or however you measure consumption). Total Billed: The total amount charged on the bill for this period Billing Multiplier (SFE): The single-family equivalent multiplier, if applicable, to the given account. [this might not be applicable given your current rate structure] Meter Size: Meter Size applicable to the customer. Fixed/Variable Charge: Alongside the “Total Bill Field”, I’ll need the fixed and variable components of the bill. I’ll need an export from your billing software that has every bill, for every customer, for every period for calendar year 2025."
"21086238","closing out","[2026-03-17 04:16 | Jimmy Biondo] was told the secretary had just left and would not be back until tomorro wmorning."
"21086236","Assistance in understanding Unbilled balance vs Billed Balance","[2026-03-17 03:22 | Karen Lambert] I've had a customer inquire about the billed vs unbilled balance of a final bill they received. What they are seeing online is different from what I see on my side. I also have a question about why the customer is receive the emailed bill the day after I generate it, even though I have not created a bill run for the bill. Lastly, I have a question regarding the new cloud server we transitioned to. I asked our IT department about it and they recommended I contact you, as it wasn't something they could control. It will be much easier to explain over the phone, and I'd also like to do a webEx to show someone what I am seeing."
"21086157","can&apos;t access customer account number","[2026-03-17 03:05 | Kirsten Skiver-Sanders] account number missing out of system 00025097 can you bring it back? kls"
